Batch ID,Production Line,Units Produced,Electricity (kWh),Fuel (L),Raw Material Transportation (kg),Product Transportation (kg),Waste (kg),Packaging (kg),Electricity CO2 (kg),Fuel CO2 (kg),Raw Material Transport CO2 (kg),Product Transport CO2 (kg),Waste CO2 (kg),Packaging CO2 (kg),Total CO2 (kg),Projected Electricity CO2 (kg),Projected Fuel CO2 (kg),Projected Waste CO2 (kg),Projected Product Transport CO2 (kg),Projected Total CO2 (kg)
B0028,Line C,4734,3290.69,694.48,564.08,631.44,200.32,344.99,1480.81,1861.21,101.53,101.03,220.35,120.75,3885.68,1258.69,1675.09,176.28,90.93,3423.27
B0029,Line C,2526,1103.09,282.01,280.79,337.48,107.02,62.32,496.39,755.79,50.54,54.0,117.72,21.81,1496.25,421.93,680.21,94.18,48.6,1317.27
B0030,Line C,4244,1647.89,720.07,295.88,358.13,69.68,264.86,741.55,1929.79,53.26,57.3,76.65,92.7,2951.25,630.32,1736.81,61.32,51.57,2625.98
B0031,Line B,1401,503.6,304.1,77.91,133.34,59.56,105.36,226.62,814.99,14.02,21.33,65.52,36.88,1179.36,192.63,733.49,52.41,19.2,1048.63
B0032,Line C,2539,1540.64,417.64,200.97,185.51,150.12,92.02,693.29,1119.28,36.17,29.68,165.13,32.21,2075.76,589.29,1007.35,132.11,26.71,1823.84
B0033,Line B,509,301.75,66.22,50.56,80.13,28.3,21.49,135.79,177.47,9.1,12.82,31.13,7.52,373.83,115.42,159.72,24.9,11.54,328.2
B0034,Line B,760,432.2,129.73,60.35,91.97,24.29,41.14,194.49,347.68,10.86,14.72,26.72,14.4,608.86,165.32,312.91,21.38,13.24,538.11
B0035,Line C,2173,962.16,211.23,170.92,332.03,26.07,158.42,432.97,566.1,30.77,53.12,28.68,55.45,1167.08,368.03,509.49,22.94,47.81,1034.49
B0036,Line B,2719,1376.8,555.8,291.09,226.69,76.44,208.04,619.56,1489.54,52.4,36.27,84.08,72.81,2354.67,526.63,1340.59,67.27,32.64,2092.34
B0037,Line C,2560,1504.74,385.11,176.42,348.18,131.38,164.8,677.13,1032.09,31.76,55.71,144.52,57.68,1998.89,575.56,928.89,115.61,50.14,1759.64
B0038,Line C,4213,2311.7,602.08,458.31,565.57,189.9,106.16,1040.26,1613.57,82.5,90.49,208.89,37.16,3072.87,884.23,1452.22,167.11,81.44,2704.66
B0039,Line A,2119,1578.9,343.32,153.72,267.17,69.86,127.46,710.51,920.1,27.67,42.75,76.85,44.61,1822.48,603.93,828.09,61.48,38.47,1604.25
B0040,Line C,820,331.75,137.33,54.33,128.1,10.46,36.59,149.29,368.04,9.78,20.5,11.51,12.81,571.92,126.89,331.24,9.2,18.45,508.37
B0041,Line A,1842,1156.88,165.87,140.58,171.84,57.74,88.86,520.6,444.53,25.3,27.49,63.51,31.1,1112.54,442.51,400.08,50.81,24.74,974.54
B0042,Line C,2876,1471.73,504.93,290.46,185.15,96.21,66.0,662.28,1353.21,52.28,29.62,105.83,23.1,2226.33,562.94,1217.89,84.66,26.66,1967.53
B0043,Line C,3332,1736.9,379.42,166.87,412.79,188.02,104.84,781.6,1016.85,30.04,66.05,206.82,36.69,2138.05,664.36,915.16,165.46,59.44,1871.15
B0044,Line A,3324,2117.52,598.16,185.19,432.86,139.79,224.14,952.88,1603.07,33.33,69.26,153.77,78.45,2890.76,809.95,1442.76,123.02,62.33,2549.84
B0045,Line A,2494,1563.67,486.72,289.59,282.46,63.8,117.81,703.65,1304.41,52.13,45.19,70.18,41.23,2216.79,598.1,1173.97,56.14,40.67,1962.24
B0046,Line C,3458,2581.41,665.85,186.87,251.57,125.41,131.75,1161.63,1784.48,33.64,40.25,137.95,46.11,3204.06,987.39,1606.03,110.36,36.23,2819.76
B0047,Line B,2538,1018.65,399.35,216.79,267.73,33.76,109.24,458.39,1070.26,39.02,42.84,37.14,38.23,1685.88,389.63,963.23,29.71,38.55,1498.37
B0048,Line A,3990,1562.66,609.77,344.52,336.52,233.93,284.34,703.2,1634.18,62.01,53.84,257.32,99.52,2810.08,597.72,1470.77,205.86,48.46,2484.34
B0049,Line B,4177,2672.18,417.71,330.69,405.26,116.97,271.25,1202.48,1119.46,59.52,64.84,128.67,94.94,2669.91,1022.11,1007.52,102.93,58.36,2345.38
B0050,Line B,1618,940.63,305.07,148.18,195.74,54.84,58.8,423.28,817.59,26.67,31.32,60.32,20.58,1379.77,359.79,735.83,48.26,28.19,1219.32
B0051,Line B,2104,967.13,248.27,122.84,277.67,58.42,56.91,435.21,665.36,22.11,44.43,64.26,19.92,1251.29,369.93,598.83,51.41,39.98,1102.18
B0052,Line A,4527,1728.26,676.96,381.23,341.99,199.76,158.99,777.72,1814.25,68.62,54.72,219.74,55.65,2990.69,661.06,1632.83,175.79,49.25,2643.2
B0053,Line B,735,282.43,88.05,51.28,69.52,31.69,55.31,127.09,235.97,9.23,11.12,34.86,19.36,437.64,108.03,212.38,27.89,10.01,386.9
B0054,Line A,2469,1747.25,243.78,229.45,196.55,113.0,135.54,786.26,653.33,41.3,31.45,124.3,47.44,1684.08,668.32,588.0,99.44,28.3,1472.8
B0055,Line B,4929,2103.44,828.75,252.85,354.15,115.37,256.35,946.55,2221.05,45.51,56.66,126.91,89.72,3486.4,804.57,1998.95,101.53,51.0,3091.28
B0056,Line C,2408,1154.27,210.96,206.29,327.9,62.09,134.33,519.42,565.37,37.13,52.46,68.3,47.02,1289.7,441.51,508.84,54.64,47.22,1136.36
B0057,Line C,875,385.58,161.71,47.97,131.27,14.23,36.72,173.51,433.38,8.63,21.0,15.65,12.85,665.04,147.48,390.04,12.52,18.9,590.42
B0058,Line A,4030,1982.75,501.58,251.03,365.62,172.39,275.76,892.24,1344.23,45.19,58.5,189.63,96.52,2626.3,758.4,1209.81,151.7,52.65,2314.27
B0059,Line C,3135,1184.31,250.86,180.25,415.83,37.59,161.13,532.94,672.3,32.44,66.53,41.35,56.4,1401.97,453.0,605.07,33.08,59.88,1239.87
B0060,Line C,2070,1154.28,313.73,113.08,307.75,82.56,55.9,519.43,840.8,20.35,49.24,90.82,19.56,1540.2,441.51,756.72,72.65,44.32,1355.11
B0061,Line B,3060,1153.76,264.87,324.53,437.81,163.66,84.9,519.19,709.85,58.42,70.05,180.03,29.72,1567.25,441.31,638.87,144.02,63.04,1375.38
B0062,Line A,3891,2607.52,461.72,244.58,272.8,212.22,203.16,1173.38,1237.41,44.02,43.65,233.44,71.11,2803.01,997.38,1113.67,186.75,39.28,2452.21
B0063,Line B,3465,1536.67,620.15,395.6,537.74,112.45,264.01,691.5,1662.0,71.21,86.04,123.7,92.4,2726.85,587.78,1495.8,98.96,77.43,2423.58
B0064,Line B,4143,2344.96,367.8,487.19,378.81,136.57,159.51,1055.23,985.7,87.69,60.61,150.23,55.83,2395.3,896.95,887.13,120.18,54.55,2102.33
B0065,Line B,4350,3053.84,859.16,372.8,379.83,60.24,313.95,1374.23,2302.55,67.1,60.77,66.26,109.88,3980.8,1168.09,2072.29,53.01,54.7,3525.07
B0066,Line B,1372,837.4,110.49,70.58,78.02,59.73,90.34,376.83,296.11,12.7,12.48,65.7,31.62,795.45,320.31,266.5,52.56,11.23,694.92
B0067,Line B,1752,986.7,200.7,122.58,181.3,89.46,61.09,444.02,537.88,22.06,29.01,98.41,21.38,1152.75,377.41,484.09,78.72,26.11,1009.77
B0068,Line B,1814,870.24,333.28,188.33,112.45,40.33,40.24,391.61,893.19,33.9,17.99,44.36,14.08,1395.14,332.87,803.87,35.49,16.19,1236.4
B0069,Line B,3398,1641.92,422.3,235.79,262.8,105.56,88.72,738.86,1131.76,42.44,42.05,116.12,31.05,2102.29,628.03,1018.59,92.89,37.84,1850.84
B0070,Line A,577,356.47,54.39,27.1,48.97,29.97,36.76,160.41,145.77,4.88,7.84,32.97,12.87,364.72,136.35,131.19,26.37,7.05,318.71
B0071,Line C,3121,2333.43,407.08,263.86,433.73,168.08,99.81,1050.04,1090.97,47.49,69.4,184.89,34.93,2477.73,892.54,981.88,147.91,62.46,2167.21
B0072,Line B,4727,2905.86,557.1,508.67,691.58,104.75,199.84,1307.64,1493.03,91.56,110.65,115.22,69.94,3188.05,1111.49,1343.73,92.18,99.59,2808.49
B0073,Line B,1100,630.42,217.78,114.04,91.6,41.28,55.11,283.69,583.65,20.53,14.66,45.41,19.29,967.22,241.14,525.29,36.33,13.19,855.77
B0074,Line B,1565,1005.14,193.85,84.53,226.07,30.71,99.42,452.31,519.52,15.22,36.17,33.78,34.8,1091.8,384.47,467.57,27.02,32.55,961.63
B0075,Line B,2636,1413.11,502.03,247.31,380.36,39.79,70.63,635.9,1345.44,44.52,60.86,43.77,24.72,2155.2,540.51,1210.9,35.02,54.77,1910.44
B0076,Line B,2949,1103.09,604.14,169.98,395.5,163.83,130.88,496.39,1619.1,30.6,63.28,180.21,45.81,2435.38,421.93,1457.19,144.17,56.95,2156.65
B0077,Line B,2843,1634.49,400.11,163.35,188.03,145.07,139.6,735.52,1072.29,29.4,30.08,159.58,48.86,2075.74,625.19,965.07,127.66,27.08,1823.26
B0078,Line C,2363,1732.2,490.07,259.75,297.59,113.43,123.94,779.49,1313.39,46.76,47.61,124.77,43.38,2355.4,662.57,1182.05,99.82,42.85,2077.43
B0079,Line C,1818,763.78,241.47,109.03,279.89,22.61,125.63,343.7,647.14,19.63,44.78,24.87,43.97,1124.09,292.15,582.43,19.9,40.3,998.38
B0080,Line B,4097,2564.73,880.74,250.16,512.45,213.81,124.14,1154.13,2360.38,45.03,81.99,235.19,43.45,3920.17,981.01,2124.34,188.15,73.79,3455.77
B0081,Line C,4262,1834.25,394.24,170.7,368.57,135.97,291.82,825.41,1056.56,30.73,58.97,149.57,102.14,2223.38,701.6,950.91,119.65,53.07,1958.1
B0082,Line A,2690,1518.05,473.93,294.97,282.62,72.95,165.63,683.12,1270.13,53.09,45.22,80.24,57.97,2189.78,580.65,1143.12,64.2,40.7,1939.73
B0083,Line B,1492,579.9,222.51,154.28,180.58,55.69,79.6,260.96,596.33,27.77,28.89,61.26,27.86,1003.06,221.81,536.69,49.01,26.0,889.14
B0084,Line A,3212,1702.84,431.28,289.68,340.99,46.79,199.05,766.28,1155.83,52.14,54.56,51.47,69.67,2149.95,651.34,1040.25,41.18,49.1,1903.68
B0085,Line A,2692,1756.44,453.82,269.26,170.12,128.76,120.39,790.4,1216.24,48.47,27.22,141.64,42.14,2266.09,671.84,1094.61,113.31,24.5,1994.87
B0086,Line B,1748,854.82,312.09,91.18,147.4,68.38,49.48,384.67,836.4,16.41,23.58,75.22,17.32,1353.6,326.97,752.76,60.17,21.23,1194.86
B0087,Line C,3554,2189.14,286.49,272.47,491.39,68.7,213.05,985.11,767.79,49.04,78.62,75.57,74.57,2030.71,837.35,691.01,60.46,70.76,1783.19
B0088,Line A,4533,3028.86,468.59,308.69,656.18,87.99,233.36,1362.99,1255.82,55.56,104.99,96.79,81.68,2957.83,1158.54,1130.24,77.43,94.49,2597.94
B0089,Line B,2497,1800.02,449.03,118.61,162.56,47.97,145.73,810.01,1203.4,21.35,26.01,52.77,51.01,2164.54,688.51,1083.06,42.21,23.41,1909.55
B0090,Line A,4187,1858.43,725.58,330.31,647.99,53.8,168.65,836.29,1944.55,59.46,103.68,59.18,59.03,3062.19,710.85,1750.1,47.34,93.31,2720.09
B0091,Line A,2651,1351.28,570.62,301.31,228.44,104.42,197.27,608.08,1529.26,54.24,36.55,114.86,69.04,2412.03,516.86,1376.34,91.89,32.9,2141.27
B0092,Line A,4518,1856.75,842.81,195.2,555.06,235.01,249.58,835.54,2258.73,35.14,88.81,258.51,87.35,3564.08,710.21,2032.86,206.81,79.93,3152.3
B0093,Line A,3610,2696.65,769.32,228.57,479.05,39.26,90.7,1213.49,2061.78,41.14,76.65,43.19,31.74,3467.99,1031.47,1855.6,34.55,68.98,3063.48
B0094,Line C,2470,1780.38,440.54,139.81,344.11,30.75,116.06,801.17,1180.65,25.17,55.06,33.83,40.62,2136.49,681.0,1062.58,27.06,49.55,1885.98
B0095,Line A,697,394.49,84.84,41.16,107.36,26.93,45.57,177.52,227.37,7.41,17.18,29.62,15.95,475.05,150.89,204.63,23.7,15.46,418.04
B0096,Line A,3126,2146.98,296.19,352.22,263.9,159.35,211.47,966.14,793.79,63.4,42.22,175.28,74.01,2114.85,821.22,714.41,140.23,38.0,1851.27
B0097,Line A,1702,950.37,322.45,131.81,245.83,44.83,84.55,427.67,864.17,23.73,39.33,49.31,29.59,1433.8,363.52,777.75,39.45,35.4,1269.44
B0098,Line C,2535,1519.57,431.41,195.97,163.47,69.66,186.79,683.81,1156.18,35.27,26.16,76.63,65.38,2043.42,581.24,1040.56,61.3,23.54,1807.29
B0099,Line A,977,376.78,84.75,98.53,124.62,38.9,35.23,169.55,227.13,17.74,19.94,42.79,12.33,489.48,144.12,204.42,34.23,17.95,430.79
B0100,Line A,1754,1143.8,228.73,91.84,230.86,41.59,78.29,514.71,613.0,16.53,36.94,45.75,27.4,1254.33,437.5,551.7,36.6,33.24,1102.97
B0101,Line C,1422,570.34,304.24,112.31,177.11,16.11,105.11,256.65,815.36,20.22,28.34,17.72,36.79,1175.08,218.16,733.83,14.18,25.5,1048.68
B0102,Line C,919,625.31,137.9,68.37,71.46,42.97,67.8,281.39,369.57,12.31,11.43,47.27,23.73,745.7,239.18,332.61,37.81,10.29,655.93
B0103,Line C,2704,1792.24,380.13,237.28,394.88,111.63,165.33,806.51,1018.75,42.71,63.18,122.79,57.87,2111.81,685.53,916.87,98.23,56.86,1858.07
B0104,Line A,3097,1961.94,446.21,371.53,212.38,120.9,221.56,882.87,1195.84,66.88,33.98,132.99,77.55,2390.11,750.44,1076.26,106.39,30.58,2108.1
B0105,Line C,1620,590.43,176.97,164.52,90.56,76.28,41.03,265.69,474.28,29.61,14.49,83.91,14.36,882.34,225.84,426.85,67.13,13.04,776.83
B0106,Line C,3568,1681.42,469.62,256.29,459.99,156.14,256.54,756.64,1258.58,46.13,73.6,171.75,89.79,2396.49,643.14,1132.72,137.4,66.24,2115.42
B0107,Line A,1450,660.11,191.07,154.0,148.34,29.43,56.89,297.05,512.07,27.72,23.73,32.37,19.91,912.86,252.49,460.86,25.9,21.36,808.24
B0108,Line C,2836,1401.14,247.67,152.17,406.68,78.34,87.06,630.51,663.76,27.39,65.07,86.17,30.47,1503.37,535.94,597.38,68.94,58.56,1318.68
B0109,Line A,2743,1056.21,514.2,116.4,252.83,44.73,94.26,475.29,1378.06,20.95,40.45,49.2,32.99,1996.95,404.0,1240.25,39.36,36.41,1773.96
B0110,Line B,3145,2279.44,434.99,177.24,215.47,51.87,141.77,1025.75,1165.77,31.9,34.48,57.06,49.62,2364.58,871.89,1049.2,45.65,31.03,2079.29
B0111,Line C,2357,1347.07,459.86,158.47,334.71,103.26,82.66,606.18,1232.42,28.52,53.55,113.59,28.93,2063.2,515.25,1109.18,90.87,48.2,1820.95
B0112,Line B,2365,1116.78,470.75,191.2,261.05,125.18,92.79,502.55,1261.61,34.42,41.77,137.7,32.48,2010.52,427.17,1135.45,110.16,37.59,1777.27
B0113,Line A,3412,1736.0,374.23,304.39,241.61,198.36,95.87,781.2,1002.94,54.79,38.66,218.2,33.55,2129.33,664.02,902.64,174.56,34.79,1864.35
B0114,Line C,3353,1773.34,576.81,378.38,433.35,138.87,126.64,798.0,1545.85,68.11,69.34,152.76,44.32,2678.38,678.3,1391.27,122.21,62.4,2366.61
B0115,Line A,3728,2200.41,544.73,301.18,396.0,71.6,202.57,990.18,1459.88,54.21,63.36,78.76,70.9,2717.29,841.66,1313.89,63.01,57.02,2400.69
B0116,Line B,4219,2346.91,857.39,337.95,491.41,64.48,196.23,1056.11,2297.81,60.83,78.63,70.93,68.68,3632.98,897.69,2068.02,56.74,70.76,3222.72
B0117,Line A,3728,2675.8,410.84,164.1,375.41,188.8,152.11,1204.11,1101.05,29.54,60.07,207.68,53.24,2655.68,1023.49,990.95,166.14,54.06,2317.42
B0118,Line C,2871,1575.56,502.12,122.86,405.26,111.79,186.0,709.0,1345.68,22.11,64.84,122.97,65.1,2329.71,602.65,1211.11,98.38,58.36,2057.71
B0119,Line C,3391,2532.61,559.8,285.16,478.99,138.74,249.61,1139.67,1500.26,51.33,76.64,152.61,87.36,3007.88,968.72,1350.24,122.09,68.97,2648.71
B0120,Line B,4256,2939.07,516.43,319.43,544.91,208.86,278.37,1322.58,1384.03,57.5,87.19,229.75,97.43,3178.47,1124.19,1245.63,183.8,78.47,2787.02
B0121,Line A,4725,2047.83,468.36,506.21,291.03,213.4,188.62,921.52,1255.2,91.12,46.56,234.74,66.02,2615.17,783.29,1129.68,187.79,41.91,2299.81
B0122,Line C,594,429.01,101.71,31.4,84.51,30.72,38.41,193.05,272.58,5.65,13.52,33.79,13.44,532.05,164.1,245.32,27.03,12.17,467.71
B0123,Line B,3174,1258.64,582.12,133.3,392.98,40.66,92.42,566.39,1560.08,23.99,62.88,44.73,32.35,2290.41,481.43,1404.07,35.78,56.59,2034.21
B0124,Line C,2455,1661.99,304.88,186.39,310.98,116.31,68.3,747.9,817.08,33.55,49.76,127.94,23.9,1800.13,635.71,735.37,102.35,44.78,1575.66
B0125,Line C,1293,649.41,220.17,76.28,116.28,67.94,52.67,292.23,590.06,13.73,18.6,74.73,18.43,1007.79,248.4,531.05,59.79,16.74,888.14
B0126,Line A,2334,1636.58,315.83,102.62,342.45,56.73,159.79,736.46,846.42,18.47,54.79,62.4,55.93,1774.48,625.99,761.78,49.92,49.31,1561.4
B0127,Line C,2616,1823.93,470.48,256.28,339.53,109.93,90.99,820.77,1260.89,46.13,54.32,120.92,31.85,2334.88,697.65,1134.8,96.74,48.89,2056.06
B0128,Line A,4606,3096.94,496.94,225.36,287.35,118.41,109.6,1393.62,1331.8,40.56,45.98,130.25,38.36,2980.57,1184.58,1198.62,104.2,41.38,2607.7
B0129,Line C,3825,2547.5,782.71,339.15,362.82,221.46,106.73,1146.38,2097.66,61.05,58.05,243.61,37.36,3644.1,974.42,1887.9,194.88,52.25,3207.86
B0130,Line B,3419,1613.33,411.09,213.63,504.31,39.9,244.54,726.0,1101.72,38.45,80.69,43.89,85.59,2076.34,617.1,991.55,35.11,72.62,1840.42
B0131,Line C,3097,1184.19,407.22,166.87,170.93,120.75,179.71,532.89,1091.35,30.04,27.35,132.83,62.9,1877.34,452.95,982.21,106.26,24.61,1658.97
B0132,Line A,3705,1893.97,326.53,260.76,577.08,67.89,130.39,852.29,875.1,46.94,92.33,74.68,45.64,1986.97,724.44,787.59,59.74,83.1,1747.45
B0133,Line A,1314,551.1,125.63,136.81,163.87,59.93,70.06,248.0,336.69,24.63,26.22,65.92,24.52,725.97,210.8,303.02,52.74,23.6,639.31
B0134,Line B,845,530.64,128.63,60.31,100.94,15.88,43.65,238.79,344.73,10.86,16.15,17.47,15.28,643.27,202.97,310.26,13.97,14.54,567.88
B0135,Line C,2849,1391.57,334.65,285.08,227.24,62.02,169.02,626.21,896.86,51.31,36.36,68.22,59.16,1738.12,532.28,807.18,54.58,32.72,1537.23
B0136,Line C,862,638.09,169.79,43.13,66.69,29.93,29.3,287.14,455.04,7.76,10.67,32.92,10.26,803.79,244.07,409.53,26.34,9.6,707.56
B0137,Line B,2943,1784.6,241.49,299.66,452.12,164.05,211.5,803.07,647.19,53.94,72.34,180.46,74.02,1831.02,682.61,582.47,144.36,65.11,1602.51
B0138,Line C,2765,1877.41,367.95,163.01,228.97,56.92,106.62,844.83,986.11,29.34,36.64,62.61,37.32,1996.85,718.11,887.5,50.09,32.97,1755.33
B0139,Line C,2688,1083.29,341.99,253.19,363.7,46.27,165.71,487.48,916.53,45.57,58.19,50.9,58.0,1616.68,414.36,824.88,40.72,52.37,1435.9
B0140,Line A,3505,2435.29,289.88,298.85,326.82,168.06,73.49,1095.88,776.88,53.79,52.29,184.87,25.72,2189.43,931.5,699.19,147.89,47.06,1905.15
B0141,Line C,3781,2718.93,368.31,432.29,246.97,132.45,160.16,1223.52,987.07,77.81,39.52,145.7,56.06,2529.67,1039.99,888.36,116.56,35.56,2214.34
B0142,Line C,1484,808.52,204.66,105.34,75.95,82.49,61.0,363.83,548.49,18.96,12.15,90.74,21.35,1055.52,309.26,493.64,72.59,10.94,926.74
B0143,Line B,2139,1267.36,318.71,96.88,235.01,37.07,112.53,570.31,854.14,17.44,37.6,40.78,39.39,1559.66,484.77,768.73,32.62,33.84,1376.79
B0144,Line B,1327,870.41,181.27,55.11,208.78,56.13,32.33,391.68,485.8,9.92,33.4,61.74,11.32,993.87,332.93,437.22,49.39,30.06,870.84
B0145,Line A,3230,1356.39,498.49,342.86,292.65,69.91,217.73,610.38,1335.95,61.71,46.82,76.9,76.21,2207.97,518.82,1202.36,61.52,42.14,1962.76
B0146,Line C,4031,2221.19,658.34,330.46,359.93,71.91,133.29,999.54,1764.35,59.48,57.59,79.1,46.65,3006.71,849.61,1587.92,63.28,51.83,2658.77
B0147,Line C,4951,2522.36,402.96,505.1,434.95,218.69,300.14,1135.06,1079.93,90.92,69.59,240.56,105.05,2721.11,964.8,971.94,192.45,62.63,2387.79
B0148,Line C,3435,1403.37,497.98,201.82,368.44,136.32,234.24,631.52,1334.59,36.33,58.95,149.95,81.98,2293.32,536.79,1201.13,119.96,53.06,2029.25
B0149,Line A,4376,2174.93,940.36,295.85,430.92,208.92,235.05,978.72,2520.16,53.25,68.95,229.81,82.27,3933.16,831.91,2268.15,183.85,62.05,3481.48
B0150,Line A,626,236.17,95.57,26.55,91.89,15.95,40.35,106.28,256.13,4.78,14.7,17.55,14.12,413.55,90.34,230.51,14.04,13.23,367.02
B0151,Line B,3677,1324.91,642.95,429.91,388.32,119.13,219.56,596.21,1723.11,77.38,62.13,131.04,76.85,2666.72,506.78,1550.8,104.83,55.92,2372.56
B0152,Line A,3556,1436.86,439.74,332.24,376.41,107.65,146.98,646.59,1178.5,59.8,60.23,118.42,51.44,2114.98,549.6,1060.65,94.73,54.2,1870.42
B0153,Line C,1103,810.98,207.76,126.47,71.94,65.3,75.59,364.94,556.8,22.76,11.51,71.83,26.46,1054.3,310.2,501.12,57.46,10.36,928.36
B0154,Line C,3949,2250.19,743.24,241.84,624.34,97.19,148.81,1012.59,1991.88,43.53,99.89,106.91,52.08,3306.89,860.7,1792.69,85.53,89.9,2924.43
B0155,Line A,4646,3420.98,710.75,413.11,360.05,114.95,252.15,1539.44,1904.81,74.36,57.61,126.44,88.25,3790.92,1308.52,1714.33,101.16,51.85,3338.47
B0156,Line C,4033,2109.26,873.72,380.23,234.2,111.82,261.03,949.17,2341.57,68.44,37.47,123.0,91.36,3611.01,806.79,2107.41,98.4,33.72,3206.12
